"state","solution_level","total_fw_kg_per_capita","likely_fw_baseline_low_kg_per_capita","likely_fw_baseline_high_kg_per_capita","likely_fw_alternative_low_kg_per_capita","likely_fw_alternative_high_kg_per_capita","likely_fw_baseline_mean_kg_per_capita","likely_fw_alternative_mean_kg_per_capita"
"VA","Repurpose",189.558001619976,1.06556196270645,2.1311239254129,1.0405185255583,2.08103705111659,1.59834294405967,1.56077778833744
"WA","Repurpose",132.755153969902,3.62380291832539,7.24760583665079,3.48572591579193,6.97145183158386,5.43570437748809,5.2285888736879
"WV","Repurpose",171.038999391408,0.564181256076649,1.1283625121533,0.547558079159803,1.09511615831961,0.846271884114974,0.821337118739705
"WI","Repurpose",141.351917637506,3.86295735907246,7.72591471814493,3.8417574673331,7.68351493466619,5.7944360386087,5.76263620099965
"WY","Repurpose",188.488208038034,0.523574263954274,1.04714852790855,0.510441028999916,1.02088205799983,0.785361395931412,0.765661543499874
"AL","Recycling",164.126892524382,8.96214596212056,17.9242919242411,9.04734552703449,18.094691054069,13.4432189431808,13.5710182905517
"AK","Recycling",147.908181520632,8.21431325939123,16.4286265187825,8.3078592346517,16.6157184693034,12.3214698890869,12.4617888519776
"AZ","Recycling",464.913100434049,25.4795767981109,50.9591535962217,25.8790504844725,51.7581009689451,38.2193651971663,38.8185757267088
"AR","Recycling",77.5110587588388,4.95019768571428,9.90039537142857,4.9878476413553,9.9756952827106,7.42529652857143,7.48177146203295
"CA","Recycling",133.734612950783,43.1686043946927,86.3372087893854,43.6163056828813,87.2326113657626,64.7529065920391,65.4244585243219
"CO","Recycling",199.263336257828,11.2614439268648,22.5228878537297,11.402426332191,22.8048526643821,16.8921658902972,17.1036394982865
"CT","Recycling",160.824023989477,26.2858937017849,52.5717874035699,26.751949858766,53.503899717532,39.4288405526774,40.127924788149
"DE","Recycling",168.314762402852,9.46235361067158,18.9247072213432,9.57110836263104,19.1422167252621,14.1935304160074,14.3566625439466
"FL","Recycling",197.4061623324,11.248111031029,22.4962220620581,11.3814492175396,22.7628984350793,16.8721665465436,17.0721738263094
"GA","Recycling",170.295851218654,9.66451895736468,19.3290379147294,9.76078720159342,19.5215744031868,14.496778436047,14.6411808023901
"HI","Recycling",137.871701036914,7.43017582432322,14.8603516486464,7.57269786861441,15.1453957372288,11.1452637364848,11.3590468029216
"ID","Recycling",117.13695206137,16.3172042916317,32.6344085832634,15.978066975026,31.9561339500519,24.4758064374476,23.9671004625389
"IL","Recycling",151.911065281006,9.93589216127749,19.871784322555,10.0122095578246,20.0244191156493,14.9038382419162,15.018314336737
"IN","Recycling",176.383768731863,10.652316180547,21.3046323610939,10.7459762780317,21.4919525560634,15.9784742708204,16.1189644170476
"IA","Recycling",171.943144405627,14.0507223832935,28.1014447665871,14.0796146760809,28.1592293521619,21.0760835749403,21.1194220141214
"KS","Recycling",171.952909062627,10.5420287942577,21.0840575885154,10.6248826768781,21.2497653537562,15.8130431913865,15.9373240153171
